Postcode,Market Name,Market,PMA,SMA,Si / Do,Gu / Gun,Dong,"Province
Si / Do English","District
Gu / Gun English","Neighbourhood
Dong English","Market size Lv.1
KRW, IMM24","PPI_Household 
 IMM24","Households
CY25 Jun","Population
CY25 Jun"
01000,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 42,677,442 ", 23.7 ,188,410
01001,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 108,633,488 ", 26.7 ,426,1001
01002,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 226,319,767 ", 25.8 ,919,2085
01003,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 152,604,186 ", 21.9 ,728,1436
01004,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 115,099,767 ", 23.8 ,507,1047
01005,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 125,445,814 ", 24.5 ,536,1175
01006,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 181,055,814 ", 24.3 ,779,1679
01007,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 36,211,163 ", 26.9 ,141,338
01008,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Ui-dong," 36,211,163 ", 26.2 ,144,342
01009,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 86,648,139 ", 24.2 ,375,841
01010,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 65,956,046 ", 20.9 ,331,647
01011,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 55,610,000 ", 20.9 ,279,528
01012,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 24,571,860 ", 23.6 ,109,258
01013,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 3,879,767 ", 31.1 ,13,33
01014,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 218,560,232 ", 27.4 ,835,2007
01015,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 118,979,535 ", 25.8 ,483,1136
01016,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 128,032,326 ", 24.5 ,547,1196
01017,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 23,278,605 ", 24.9 ,98,215
01018,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 28,451,628 ", 25.8 ,116,272
01019,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 103,460,465 ", 26.9 ,402,973
01020,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 142,258,139 ", 21.9 ,679,1311
01021,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 68,542,558 ", 22.1 ,324,632
01022,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 155,190,698 ", 25.8 ,629,1439
01023,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 162,950,232 ", 25.8 ,661,1479
01024,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 208,214,186 ", 25.0 ,870,1914
01025,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 33,624,651 ", 30.2 ,116,299
01026,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 113,806,512 ", 23.9 ,498,1031
01027,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 134,498,605 ", 26.6 ,528,1229
01028,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 181,055,814 ", 27.6 ,688,1640
01029,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 148,724,419 ", 25.5 ,610,1326
01030,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 138,378,372 ", 23.6 ,613,1315
01031,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 174,589,535 ", 25.0 ,732,1637
01032,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 146,137,907 ", 28.4 ,538,1444
01033,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 113,806,512 ", 25.3 ,471,1057
01034,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 72,422,326 ", 24.6 ,308,677
01035,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 86,648,139 ", 23.7 ,382,805
01036,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 84,061,628 ", 26.7 ,330,785
01037,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 69,835,814 ", 21.7 ,336,633
01038,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 95,700,930 ", 22.5 ,444,893
01039,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 69,835,814 ", 24.3 ,301,635
01040,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 195,281,628 ", 24.8 ,825,1858
01041,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 104,753,721 ", 24.8 ,443,959
01042,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 425,481,163 ", 28.3 ,1572,4088
01043,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 103,460,465 ", 23.3 ,464,930
01044,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 199,161,395 ", 21.8 ,958,1807
01045,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 227,613,023 ", 25.0 ,953,2056
01046,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 62,076,279 ", 24.4 ,266,572
01047,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 200,454,651 ", 26.1 ,804,1812
01048,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 162,950,232 ", 24.2 ,704,1488
01049,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 115,099,767 ", 24.5 ,491,1034
01050,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 152,604,186 ", 23.9 ,668,1368
01051,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 200,454,651 ", 21.9 ,956,1783
01052,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 128,032,326 ", 22.0 ,610,1126
01053,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 186,228,837 ", 21.5 ,905,1605
01054,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 184,935,581 ", 19.1 ,1014,1573
01055,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,???,Seoul,Gangbuk-gu,Suyu-dong," 168,123,256 ", 21.6 ,815,1420
01056,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 181,055,814 ", 23.7 ,799,1594
01057,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 168,123,256 ", 21.1 ,833,1469
01058,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 168,123,256 ", 21.1 ,833,1510
01059,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 179,762,558 ", 24.5 ,769,1609
01060,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 177,176,046 ", 22.9 ,809,1577
01061,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 104,753,721 ", 22.3 ,491,951
01062,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 60,783,023 ", 18.0 ,353,475
01063,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 75,008,837 ", 21.0 ,374,616
01064,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 166,830,000 ", 19.1 ,914,1465
01065,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 129,325,581 ", 21.1 ,643,1121
01066,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 118,979,535 ", 20.7 ,601,1035
01067,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 100,873,953 ", 29.7 ,356,902
01068,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 62,076,279 ", 23.3 ,279,542
01069,IKEA Seoul - Gangdong,STO726,STO726,,?????,???,??,Seoul,Gangbuk-gu,Beon-dong," 100,873,953 ", 21.1 ,501,852
